name,abbreviation,state
Abia State University, ABSU, Uturu
Abubakar Tafawa Balewa University, ATBU, Bauchi
Achievers University, AC, Owo
Adamawa State University, ADSU, Mubi
Adekunle Ajasin University, AAUA, Akungba Akoko
Adeleke University, AU, Ede
Admiralty University of Nigeria, AUN,"	Ibusa "
Afe Babalola University, ABUAD, Ado-Ekiti
African University of Science and Technology, AUST,  Abuja
Ahmadu Bello University, ABU, Zaria
Ajayi Crowther University, ACU, Oyo Town
Akwa Ibom State University, AKSU, Ikot Akpad 
Alex Ekwueme Federal University, AEFUNAI, Ndufu-Alike Ikwo
Al-Hikmah University, AHU ,Ilorin 
Al-Qalam University, AUK, Katsina
Ambrose Alli University, AAU,"	Ekpoma"
American University of Nigeria, AUN,"	Yola"
Anchor University Lagos, AUL,  Ayobo-Ipaja 
Arthur Jarvis University, AJU, Calabar
Atiba University, AU, Oyo Town
Augustine University, AUI, Ilara Epe
Babcock University, BU, Ilishan-Remo 
Bauchi State University, BSU,"	Gadau "
Bayero University Kano, BUK,"	Kano"
Baze University, BU, Abuja
Bells University of Technology, BUT,"	Ota"
Benson Idahosa University, BIU, Benin City
Benue State University, BSU,"	Makurdi"
Bingham University, BHU, Auta Balifi
Borno State University, BSU,"	Maiduguri"
Bowen University, BU,"	Iwo"
Caleb University, CU, Imota Lagos
Caritas University, CU,"	Enugu"
Chrisland University, CU, Abeokuta
Christopher University, CU,  Mowe
Chukwuemeka Odumegwu Ojukwu University, COOU, Uli 
Clifford University, CL, Ihie
Coal City University, CCU, Enugu
Covenant University, CU, Ota
Crawford University, CU, Faith City 
Crescent University,CUA, Abeokuta
"Cross River University of Technology	Calabar", CRUTECH, Calabar
Crown Hill University,"	CHU", Ilorin
Delta State University,DELSU,"	Abraka"
Dominican University, DUI, Ibadan
Eastern Palm University, EPU, Ogboko
Ebonyi State University, EBSU, Abakaliki
Edo University, EUI, Iyamho
Edwin Clark University, Kiagbodo,--
Ekiti State University, EKSU, Ado-Ekiti
Eko University of Medical and Health Sciences, EKOUNIMED, Ijanikin
Elizade University, EU,"	Ilara-Mokin"
Enugu State University of Science and Technology, ESUT, Enugu
Evangel University Akaeze, EUA, Enugu
Federal University of Agriculture, FUNAAB, Abeokuta 
Federal University of Petroleum Resources, FUPRE,"	Effurun"
Federal University of Technology, FUTA, Akure
Federal University of Technology Minna, FUTMINNA, Minna 
Federal University of Technology Owerri, FUTO, Owerri
Federal University Birnin Kebbi, FUBK, Birnin Kebbi
Federal University Dutse, FUD, Dutse
Federal University Dutsin-Ma, FUDUTSINMA, Dutsin-Ma
Federal University Gashua, FUGASHUA, Gashua
Federal University Gusau, FUGUSAU," 	Gusau"
Federal University Kashere, FUKASHERE, Kashere
Federal University Lafia, FULAFIA, Lafia
Federal University Lokoja, FULOKOJA, Lokoja
Federal University Otuoke, FUOTUKE, Otuoke
Federal University Oye-Ekiti, FUOYE, Oye-Ekiti
Federal University Wukari, FUWUKARI, Wukari
Fountain University Osogbo, FUO, Oshogbo
Godfrey Okoye University, GOU, Ugwuomu-Nike 
Gombe State University, GSU,"	Gombe"
"Gombe State University of Science and Technology	Kumo", GSUSTK, Kumo
Gregory University Uturu, GUU, Uturu
Hallmark University Ijebu-Itele, HUI ,Ijebu-Itele
Hezekiah University Umudi, HUU, Umudi
Ibrahim Badamasi Babangida University, IBBU, Lapai
Igbinedion University Okada, IUOKADA, Okada
Ignatius Ajuru University of Education, IAUE,"	Port Harcourt"
Imo State University, IMSU,Owerri
